uid,data_provider,region,lat(degrees),lon(degrees),date(yyyymmdd),time(hh:mm:ss),abun(cells/L),severity,distance_to_water(m)
dril,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35529088,-82658713,20160801,0:01:00,3256,1,0
drjy,EPA_Central_Data_Exchange,midwest,44736667,-86721667,20140808,0:01:00,66896378,1,0
drkm,EPA_Central_Data_Exchange,northeast,42.68,-79691667,20180409,0:01:00,1332763745,1,0
drlf,Pennsylvania_Department_of_Environmental_Protection,northeast,40067849,-76898626,20180521,15:38:00,2533,1,0
drlg,California_Environmental_Data_Exchange_Network,west,371145,-120.89,20200512,15:00:00,6365,4,1451
drlj,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3826798,-95246911,20150824,0:01:00,31815,2,0
drne,EPA_National_Aquatic_Research_Survey,west,4875668,-1160927,20170803,0:01:00,19561,1,0
drnk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35154,-7872482305,20140813,0:01:00,8068,1,672
drqu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.7,-7903904733,20200610,0:01:00,16943,1,0
drrp,EPA_National_Aquatic_Research_Survey,northeast,4036051,-7810971,20170726,0:01:00,32.94,2,0
drsa,Pennsylvania_Department_of_Environmental_Protection,northeast,4002508,-7652132,20170621,14:50:00,5067,1,0
drsw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564324459,-7928013643,20200203,0:01:00,15027,1,688
drun,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.74,-79.02,20191104,0:01:00,1439934,4,0
drur,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.84,-7905961183,20200519,0:01:00,14486,1,309
drvn,EPA_Water_Quality_Data_Portal,midwest,44877646,-93557842,20130617,15:30:00,2872,1,0
drvx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7878646639,20180206,0:01:00,508,1,278
drwn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,357046979,-7916599357,20190802,0:01:00,0.29,1,775
drxm,California_Environmental_Data_Exchange_Network,west,371366,-120762,20200414,19:30:00,1567744,4,599
drxo,California_Environmental_Data_Exchange_Network,west,367081,-121.6,20191202,21:47:00,7605,4,639
dryb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562711609,-7931009337,20150909,0:01:00,440.04,3,646
dryy,Indiana_State_Department_of_Health,midwest,3878199034,-8569828611,20180820,19:30:00,675601,3,0
drzb,Connecticut_State_Department_of_Public_Health,northeast,41501567,-72224735,20150630,16:05:00,86346,2,0
dsaf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565338479,-7926130211,20150324,0:01:00,9226,1,522
dsay,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3560595,-7899252418,20160824,0:01:00,5083,1,1259
dsbb,EPA_National_Aquatic_Research_Survey,midwest,4626051,-89221,20170831,0:01:00,29872,2,0
dsbc,Pennsylvania_Department_of_Environmental_Protection,northeast,4016502,-790537,20190829,14:10:00,0,1,239
dsbh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570283487,-7916945394,20140715,0:01:00,871,1,338
dsbv,California_Environmental_Data_Exchange_Network,west,372486,-120851,20170411,19:30:00,1408863,4,488
dsby,EPA_Central_Data_Exchange,northeast,4218166667,-801566667,20190810,0:01:00,6028168631,1,0
dsca,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586595258,-7880535709,20151012,0:01:00,1162,1,224
dscy,California_Environmental_Data_Exchange_Network,west,379647,-121149,20140715,17:40:00,17224535,4,447
dsdp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3561133,-789845702,20160915,0:01:00,21784,2,485
dsdt,EPA_Central_Data_Exchange,midwest,44,-82.35,20180403,0:01:00,19586951,1,0
dsea,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586365439,-7878696352,20141125,0:01:00,15884,1,1867
dser,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3921155,-9700559,20140825,0:01:00,53.55,2,26
dsfi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570634801,-7916292867,20160525,0:01:00,71162,2,465
dsgt,California_Environmental_Data_Exchange_Network,west,374555,-120722,20150210,19:10:00,62424755,4,1346
dshj,California_Environmental_Data_Exchange_Network,west,373978,-120.96,20150811,20:20:00,11297705,4,691
dsht,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3837080661,-9879520846,20140818,0:01:00,466.2,3,0
dshz,California_Environmental_Data_Exchange_Network,west,396242,-122197,20190109,17:20:00,4210,4,1059
dsig,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571097896,-7915432717,20160511,0:01:00,6151,1,537
dsij,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.13,-7906826276,20210623,0:01:00,1162,1,349
dsil,California_Environmental_Data_Exchange_Network,west,381602,-121206,20180314,14:40:00,26342735,4,71
dsjc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36106,-7889732498,20130619,0:01:00,55187,2,984
dski,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589079791,-7900420658,20200813,0:01:00,208402,3,624
dsop,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567387809,-7922323802,20201210,0:01:00,3475,1,244
dspp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35036,-7911764722,20210420,0:01:00,21124,2,291
dspx,California_Environmental_Data_Exchange_Network,west,379031,-122059,20210623,18:30:00,7905,4,956
dsqc,EPA_Central_Data_Exchange,midwest,44198333,-82503333,20160330,0:01:00,173546531,1,0
dsre,California_Environmental_Data_Exchange_Network,west,373906,-120958,20200421,19:20:00,28361765,4,467
dsrh,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3836472,-9710194,20170531,0:01:00,62055,2,0
dssq,California_Environmental_Data_Exchange_Network,west,369767,-121.51,20191203,18:15:00,5110,4,726
dsta,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.8,-790397394,20170821,0:01:00,274481,3,420
dstc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36028,-78716,20130114,0:01:00,51099,2,0
dsti,California_Environmental_Data_Exchange_Network,west,366039,-119467,20150817,18:00:00,4195,4,39
dstq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566246039,-7924444516,20190702,0:01:00,98174,2,151
dsun,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564947243,-792685689,20161121,0:01:00,6073,1,505
dsvs,California_Environmental_Data_Exchange_Network,west,376031,-121132,20170329,18:30:00,2588919998,4,9
dswi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-7869723268,20210526,0:01:00,8169,1,223
dsyj,California_Environmental_Data_Exchange_Network,west,378817,-121249,20140916,20:20:00,5145035,4,788
dtcy,US_Army_Corps_of_Engineers,northeast,42086392,-78874325,20190924,15:30:00,36043956,1,0
dtdg,California_Environmental_Data_Exchange_Network,west,350228,-120586,20201208,20:10:00,2225,4,1069
dtdl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35478,-7905699183,20160614,0:01:00,7588,1,226
dtgf,EPA_National_Aquatic_Research_Survey,midwest,4715998,-9505449,20170731,0:01:00,87734,2,0
dtjv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35636724,-7929224773,20151207,0:01:00,612189,3,438
dtmv,California_Environmental_Data_Exchange_Network,west,374542,-120608,20190308,18:00:00,2787329,4,33
dtng,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35723620940000000,-7913084607,20130729,0:01:00,726,1,856
dtnw,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3921155,-9700559,20151026,0:01:00,252,3,26
dtot,California_Environmental_Data_Exchange_Network,west,368698,-121815,20170926,14:15:00,6255,4,290
dtow,Connecticut_State_Department_of_Public_Health,northeast,41512172,-73476168,20190625,14:20:00,330642,2,0
dtqn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.15,-7910647516,20200715,0:01:00,40664,2,637
dtrg,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3916522,-9691105,20150908,0:01:00,6615,1,0
dtrk,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3967322999,-9551803235,20190819,0:01:00,220.5,3,0
dtsb,California_Environmental_Data_Exchange_Network,west,373725,-120923,20140114,22:00:00,892046,3,361
dtsf,California_Environmental_Data_Exchange_Network,west,375368,-121049,20140210,18:05:00,23998055,4,763
dtst,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.74,-79.02,20170418,0:01:00,95269,2,0
dttn,Connecticut_State_Department_of_Public_Health,northeast,41512172,-73476168,20190820,16:15:00,1053,1,0
dtum,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3590483552,-7911655654,20190702,0:01:00,78423,2,673
dtva,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,389725,-9467293,20171009,0:01:00,164745,3,0
dtvo,EPA_Water_Quality_Data_Portal,west,411844,-1237053,20180523,18:54:00,8.35,1,46
dtxz,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3907775,-969059,20161031,0:01:00,78.12,2,0
dtyc,California_Environmental_Data_Exchange_Network,west,349638,-120642,20161215,22:50:00,1441734,4,337
dtzu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.94,-7910345969,20210714,0:01:00,220746,3,673
duat,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34941,-7910202611,20160816,0:01:00,29046,2,496
dubv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562476,-7870618091,20160525,0:01:00,3665,1,782
dudh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3560595,-7898929287,20160525,0:01:00,2152,1,907
dudk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36428611,-75967222,20130423,0:01:00,196322,3,54
dudz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563225273,-7930055262,20160621,0:01:00,35062,2,1122
dufe,California_Environmental_Data_Exchange_Network,west,366519,-120632,20160308,18:30:00,990660,4,525
dufm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566568,-7904735222,20150526,0:01:00,2113,1,369
dufz,California_Environmental_Data_Exchange_Network,west,329425,-117083,20141101,17:47:00,3992.75,4,1809
duhj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3585955491,-7875415335,20130501,0:01:00,1598,1,408
duhk,California_Environmental_Data_Exchange_Network,west,331888,-117.36,20141101,18:59:00,1762.25,4,37
duie,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567749769,-7921651501,20190327,0:01:00,29626,2,437
duiw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.94,-76.58,20170802,0:01:00,52.61,2,139
dujg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568707898,-791987188,20210712,0:01:00,13555,1,657
dujm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566376451,-7924202289,20181107,0:01:00,417,1,124
dujz,EPA_Central_Data_Exchange,midwest,44.09,-86766667,20190802,0:01:00,723860807,1,0
dulb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567779045,-7921597123,20181206,0:01:00,4448,1,482
dulj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567850905,-7921463652,20180711,0:01:00,145,1,607
dulv,California_Environmental_Data_Exchange_Network,west,373865,-121969,20180717,22:15:00,12415,5,390
dumj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569950804,-7917563318,20140115,0:01:00,145,1,327
dumy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35976,-7874719362,20150813,0:01:00,484,1,1133
dupy,California_Environmental_Data_Exchange_Network,west,369425,-121445,20160119,16:20:00,1341293,4,338
duqn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.76,-7908195595,20200924,0:01:00,79764,2,880
duqv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571869722,-7913999134,20190601,0:01:00,524272,3,502
duse,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-7867734774,20200128,0:01:00,8786,1,186
duwq,California_Environmental_Data_Exchange_Network,west,375582,-121164,20140708,15:15:00,5510,4,1089
duwr,US_Army_Corps_of_Engineers,northeast,42052142,-78876608,20200901,17:45:00,1142533333,1,56
duxb,Connecticut_State_Department_of_Public_Health,northeast,4169942,-7327969,20150702,17:05:00,9477,1,0
duxc,California_Environmental_Data_Exchange_Network,west,388121,-121774,20210525,17:05:00,1136757,4,9
duxo,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3903917524,-9569083603,20170525,0:01:00,1364,1,29
duyl,California_Environmental_Data_Exchange_Network,west,367368,-121734,20180424,21:12:00,1299290,4,13
duys,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586433763,-7879243188,20150610,0:01:00,29149,2,1571
dvad,California_Environmental_Data_Exchange_Network,west,381526,-121501,20210720,16:10:00,22500065,4,208
dvav,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.06,-7911725175,20201209,0:01:00,484,1,1814
dvcb,Indiana_State_Department_of_Health,midwest,4133056393,-8538360833,20160607,15:15:00,260182,3,0
dvcx,California_Environmental_Data_Exchange_Network,west,349638,-120642,20140825,18:30:00,1343119,4,337
dvdj,EPA_Central_Data_Exchange,midwest,46993333,-851645,20190502,0:01:00,294562125,1,0
dvdr,New_Mexico_Environment_Department,west,33157503,-107187781,20200609,19:13:00,1692566327,1,0
dvem,California_Environmental_Data_Exchange_Network,west,372764,-120954,20150811,17:00:00,6526666667,4,641
dvey,EPA_Central_Data_Exchange,midwest,43633333,-82216667,20140422,0:01:00,172736996,1,0
dvfh,EPA_National_Aquatic_Research_Survey,south,3162067,-8835121,20170816,0:01:00,204.15,3,0
dvgh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35063,-7911700458,20201117,0:01:00,0.29,1,1813
dvgu,EPA_National_Aquatic_Research_Survey,west,4870163,-109.28,20170906,0:01:00,403473,4,0
dvhm,California_Environmental_Data_Exchange_Network,west,376106,-121229,20200512,15:15:00,1638965,4,981
dvjs,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566339191,-7924271497,20190219,0:01:00,3.59,1,208
dvjz,Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,3872020003,-7508008333,20180711,9:55:00,476,3,0
dvmf,California_Environmental_Data_Exchange_Network,west,344395,-119854,20190116,21:30:00,6955,4,529
dvmt,California_Environmental_Data_Exchange_Network,west,372606,-121992,20140226,8:15:00,6335,4,370
dvns,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3907775,-969059,20141006,0:01:00,8505,1,0
dvom,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564047667,-7928527755,20211012,0:01:00,550413,3,524
dvow,California_Environmental_Data_Exchange_Network,west,350218,-120227,20190827,15:55:00,807,3,1114
dvpi,EPA_Water_Quality_Data_Portal,midwest,44822478,-93367962,20130206,20:31:00,2081,1,0
dvqp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563786843,-7929012207,20150707,0:01:00,254,1,408
dvqs,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35639625,-7928685944,20171018,0:01:00,2681,1,576
dvsd,California_Environmental_Data_Exchange_Network,west,385901,-121731,20180918,20:30:00,2086388,4,1838
dvtf,Wyoming_Department_of_Environmental_Quality,west,4437981,-10477199,20210816,0:15:00,20525892,3,9
dvua,EPA_National_Aquatic_Research_Survey,midwest,3944676,-8734945,20170914,0:01:00,2022012,4,0
dvyt,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7879988873,20181217,0:01:00,654,1,664
dvzt,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586691534,-7881306251,20160607,0:01:00,2355,1,286
dwaf,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,38919722,-94626667,20130903,0:01:00,882,1,0
dwai,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3761016134,-9762434449,20160808,0:01:00,352.8,3,0
dwaz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3591477366,-7919609634,20141125,0:01:00,117473,3,253
dwbo,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3921155,-9700559,20160912,0:01:00,371.07,3,26
dwcq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.21,-7892814665,20190716,0:01:00,545,1,1892
dwdc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568771773,-7919753239,20210317,0:01:00,2614,1,672
dwdp,California_Environmental_Data_Exchange_Network,west,376106,-121229,20180302,16:00:00,1007096,4,981
dwds,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571087251,-791545249,20160525,0:01:00,65353,2,508
dweg,California_Environmental_Data_Exchange_Network,west,381602,-121206,20160816,15:00:00,14423945,4,71
dwej,California_Environmental_Data_Exchange_Network,west,380455,-121469,20190409,18:40:00,2429114,4,91
dwfm,California_Environmental_Data_Exchange_Network,west,369818,-120221,20130813,18:30:00,32855735,4,3662
dwge,EPA_Central_Data_Exchange,northeast,43443333,-77438333,20170817,0:01:00,8731835556,1,0
dwix,US_Army_Corps_of_Engineers,south,39267492,-79997219,20130827,18:00:00,179650356,1,0
dwja,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3921067,-9697298,20170626,0:01:00,183645,3,0
dwjh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566568,-7904873637,20150923,0:01:00,14401,1,423
dwjw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.37,-7885183816,20190828,0:01:00,130.85,3,196
dwkb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566469603,-7924029271,20180509,0:01:00,62611,2,99
dwkc,Indiana_State_Department_of_Health,midwest,4070249154,-85935575,20190813,20:45:00,503298,3,0
dwkx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3590995987,-7915756925,20211202,0:01:00,17427,1,930
dwlm,California_Environmental_Data_Exchange_Network,west,363386,-119457,20180426,20:00:00,797,3,329
dwlp,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567970671,-7921241199,20170920,0:01:00,82296,2,844
dwlr,California_Environmental_Data_Exchange_Network,west,372141,-120561,20190308,22:10:00,4513274,4,1476
dwlu,California_Environmental_Data_Exchange_Network,west,371366,-120762,20140708,21:30:00,5150,4,599
dwmf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358685924,-7882648485,20170321,0:01:00,9682,1,93
dwmi,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3916522,-9691105,20140811,0:01:00,401625,3,0
dwms,California_Environmental_Data_Exchange_Network,west,383677,-121521,20170314,15:15:00,3476800005,4,0
dwna,EPA_Central_Data_Exchange,midwest,41726667,-83.15,20180811,0:01:00,4330097024,2,0
dwnb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566610661,-7923767271,20170720,0:01:00,6777,1,104
dwod,US_Army_Corps_of_Engineers,midwest,41316701,-80765996,20180809,15:30:00,3633544922,2,0
dwog,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.95,-7908556462,20210525,0:01:00,458,1,1151
dwox,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.49,-7906351711,20210830,0:01:00,35726,2,450
dwpm,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3836472,-9710194,20140707,0:01:00,1019.34,4,0
dwqg,California_Environmental_Data_Exchange_Network,west,383068,-121693,20210324,22:00:00,1554960,4,0
dwsl,EPA_Central_Data_Exchange,midwest,41935,-81478333,20180812,0:01:00,1243190873,1,0
dwtf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3588648104,-7896965648,20180809,0:01:00,84232,2,340
dwtl,California_Environmental_Data_Exchange_Network,west,381156,-121494,20200818,16:00:00,32139305,4,177
dwua,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3591185433,-7917273152,20130904,0:01:00,359197,3,216
dwvc,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3914365,-9540445,20170905,0:01:00,62685,2,9
dwvz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570951516,-7915704603,20160824,0:01:00,1089,1,197
dwwk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.5,-7906386314,20170613,0:01:00,22808,2,21
dwxu,EPA_Central_Data_Exchange,northeast,43731667,-77016667,20130812,0:01:00,1470915324,1,0
dwyf,California_Environmental_Data_Exchange_Network,west,378817,-121249,20170822,18:50:00,60796505,4,788
dwza,EPA_National_Aquatic_Research_Survey,west,3807833,-1227434,20170807,0:01:00,282642,3,0
dxas,California_Environmental_Data_Exchange_Network,west,379718,-121374,20160419,18:00:00,1120353331,4,0
dxbt,California_Environmental_Data_Exchange_Network,west,353575,-120812,20190924,14:45:00,2188656,4,1176
dxbz,California_Environmental_Data_Exchange_Network,west,372486,-120851,20180612,18:30:00,6355,4,488
dxce,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.39,-80.08,20210819,0:01:00,67271,2,502
dxcr,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.13,-7906752125,20200624,0:01:00,19606,1,424
dxdm,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3836472,-9710194,20210628,0:01:00,625257,3,0
dxee,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-7909105179,20180815,0:01:00,25827,2,1095
dxef,California_Environmental_Data_Exchange_Network,west,367518,-121742,20160427,19:45:00,1854459,4,253
dxen,New_Mexico_Environment_Department,west,3684907,-10760725,20180906,0:01:00,1978381809,1,0
dxfa,US_Army_Corps_of_Engineers,northeast,41978464,-78943886,20200902,18:00:00,1003908654,1,0
dxfb,Connecticut_State_Department_of_Public_Health,northeast,415123,-727284,20210831,17:11:00,2049138,3,0
dxga,Indiana_State_Department_of_Health,midwest,4077949407,-8563747222,20160830,17:45:00,655621,3,0
dxgk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565426307,-7925967079,20140910,0:01:00,36,1,535
dxhu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34989,-79878,20160601,0:01:00,87989,2,21
dxhz,California_Environmental_Data_Exchange_Network,west,374125,-120759,20210615,18:00:00,33637295,4,430
dxju,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566568,-7904824203,20150725,0:01:00,417,1,398
dxjy,EPA_Central_Data_Exchange,midwest,44.74,-82.06,20170809,0:01:00,121931037,1,0
dxkl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7903148394,20200109,0:01:00,4829,1,258
dxky,Indiana_State_Department_of_Health,midwest,38814,-8608063972,20200713,20:30:00,128385,3,0
dxkz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568463043,-7920326672,20150610,0:01:00,88952,2,895
dxla,EPA_National_Aquatic_Research_Survey,midwest,4790445,-9897187,20170726,0:01:00,425,3,0
dxly,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.95,-7908551519,20210525,0:01:00,93.92,2,1151
dxml,California_Environmental_Data_Exchange_Network,west,379286,-121561,20200519,15:30:00,1276313,4,112
dxnw,California_Environmental_Data_Exchange_Network,west,391766,-122189,20181124,20:00:00,1706536,4,1456
dxnz,California_Environmental_Data_Exchange_Network,west,382399,-121565,20180220,18:55:00,6630,4,722
dxqb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.7,-790389979,20200610,0:01:00,9359,1,0
dxqi,EPA_National_Aquatic_Research_Survey,midwest,3966169,-8464621,20170802,0:01:00,647.4,3,0
dxqv,EPA_National_Aquatic_Research_Survey,south,3122256,-8564838,20170817,0:01:00,20017,2,0
dxqy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572226359,-791333672,20180521,0:01:00,0.29,1,1018
dxsf,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3774668,-9777936,20160711,0:01:00,19026,1,0
dxsk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563866687,-7928863906,20150422,0:01:00,36505,2,479
dxsp,California_Environmental_Data_Exchange_Network,west,381297,-121562,20210615,18:45:00,1171454,4,0
dxtp,California_Environmental_Data_Exchange_Network,west,378717,-121526,20150317,19:30:00,1517294,4,75
dxvm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3590877972,-791481239,20210524,0:01:00,43568,2,183
dxvp,California_Environmental_Data_Exchange_Network,west,336741,-117538,20190603,15:45:00,1844.25,4,3202
dxvy,Pennsylvania_Department_of_Environmental_Protection,northeast,4180521,-7719252,20201028,14:18:00,12954667,5,19
dxwk,EPA_National_Aquatic_Research_Survey,midwest,4337318,-8614407,20170620,0:01:00,30435,2,0
dxxi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564122188,-792838934,20210617,0:01:00,323,1,539
dxxk,California_Environmental_Data_Exchange_Network,west,374583,-120967,20180911,17:00:00,1973204,4,881
dybu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3587089059,-7884487843,20180711,0:01:00,772612,3,306
dydd,Indiana_State_Department_of_Health,midwest,3908031907,-8643086667,20160516,14:25:00,2545,1,0
dydj,EPA_Central_Data_Exchange,midwest,42253333,-81106667,20150812,0:01:00,24421309,2,0
dyeo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565436,-7900843213,20160622,0:01:00,6455,1,543
dygn,US_Army_Corps_of_Engineers,northeast,41309434,-80461686,20161018,15:55:00,5878551724,2,0
dygr,California_Environmental_Data_Exchange_Network,west,374583,-120967,20190709,17:40:00,8041205,3,881
dyhr,California_Environmental_Data_Exchange_Network,west,397533,-121971,20180620,18:15:00,7755,4,1161
dyig,California_Environmental_Data_Exchange_Network,west,37515,-121012,20170711,18:00:00,1706171,4,690
dyir,EPA_Central_Data_Exchange,northeast,43516667,-79.08,20150427,0:01:00,549397653,1,0
dyja,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7881753663,20200128,0:01:00,15843,1,394
dyjg,California_Environmental_Data_Exchange_Network,west,374363,-120036,20190514,19:40:00,1273723,4,622
dyke,California_Environmental_Data_Exchange_Network,west,374419,-121003,20160412,18:50:00,4734716,4,872
dyki,California_Environmental_Data_Exchange_Network,west,350164,-120586,20190117,15:45:00,658289,4,1783
dykj,Pennsylvania_Department_of_Environmental_Protection,northeast,4110862,-7666263,20210826,16:01:00,2400,4,0
dyng,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35573,-7893336645,20130624,0:01:00,6414,1,1189
dynh,EPA_National_Aquatic_Research_Survey,northeast,4610494515,-6876859317,20170726,0:01:00,329467,3,0
dynm,EPA_Water_Quality_Data_Portal,west,411844,-1237053,20180822,19:48:00,175,1,46
